Theoretical_m/z,Composition,Glycan_class,H,N,F,Sialic-acid_state,Adduct,Glycan_Chemistries
2674.9333,H5N6F2S1Na1,Bisected tri-antennary / Tetra-antennary,5,6,2,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2677.9943,H5N6Sm2,Bisected tri-antennary / Tetra-antennary,5,6,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2677.9943,H5N6Sa1Sd1,Bisected tri-antennary / Tetra-antennary,5,6,0,Sa1 Sd1 Ga0 Gd0,[M+Na]+,SA
2679.9987,H4N6F3Gd1,Bisected tri-antennary / Tetra-antennary,4,6,3,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2679.9987,H5N6F2Sd1,Bisected tri-antennary / Tetra-antennary,5,6,2,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2680.9939,H6N5Sd1Gd1,Bisected bi-antennary / Tri-antennary,6,5,0,Sa0 Sd1 Ga0 Gd1,[M+Na]+,SA
2681.9779,H5N6F2Gm1,Bisected tri-antennary / Tetra-antennary,5,6,2,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2681.9779,H6N6F1Sm1,Bisected tri-antennary / Tetra-antennary,6,6,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2683.9572,H6N6F1Ga1,Bisected tri-antennary / Tetra-antennary,6,6,1,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2683.9572,H7N6Sa1,Bisected tri-antennary / Tetra-antennary,7,6,0,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2684.9412,H6N6F1G1,Bisected tri-antennary / Tetra-antennary,6,6,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2684.9412,H7N6S1,Bisected tri-antennary / Tetra-antennary,7,6,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2685.9616,H7N6F2,Bisected tri-antennary / Tetra-antennary,7,6,2,n/a (no sialic acid),[M+Na]+,Neutral
2689.9078,H5N6S1G1Na1,Bisected tri-antennary / Tetra-antennary,5,6,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2690.9282,H5N6F2G1Na1,Bisected tri-antennary / Tetra-antennary,5,6,2,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2690.9282,H6N6F1S1Na1,Bisected tri-antennary / Tetra-antennary,6,6,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2692.9939,H4N7F2Sa1,Bisected tetra-antennary / Penta-antennary,4,7,2,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2693.9779,H4N7F2S1,Bisected tetra-antennary / Penta-antennary,4,7,2,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2693.9892,H5N6Sm1Gm1,Bisected tri-antennary / Tetra-antennary,5,6,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2693.9892,H5N6Sd1Ga1,Bisected tri-antennary / Tetra-antennary,5,6,0,Sa0 Sd1 Ga1 Gd0,[M+Na]+,SA
2693.9892,H5N6Sa1Gd1,Bisected tri-antennary / Tetra-antennary,5,6,0,Sa1 Sd0 Ga0 Gd1,[M+Na]+,SA
2694.9983,H4N7F4,Bisected tetra-antennary / Penta-antennary,4,7,4,n/a (no sialic acid),[M+Na]+,Neutral
2695.8949,H5N6S2Na2,Bisected tri-antennary / Tetra-antennary,5,6,0,underivatized + 2 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2695.9936,H5N6F2Gd1,Bisected tri-antennary / Tetra-antennary,5,6,2,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2695.9936,H6N6F1Sd1,Bisected tri-antennary / Tetra-antennary,6,6,1,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2697.9728,H6N6F1Gm1,Bisected tri-antennary / Tetra-antennary,6,6,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2697.9728,H7N6Sm1,Bisected tri-antennary / Tetra-antennary,7,6,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2699.9521,H7N6Ga1,Bisected tri-antennary / Tetra-antennary,7,6,0,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2700.9361,H7N6G1,Bisected tri-antennary / Tetra-antennary,7,6,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2706.0256,H5N6Sd2,Bisected tri-antennary / Tetra-antennary,5,6,0,Sa0 Sd2 Ga0 Gd0,[M+Na]+,SA
2706.9231,H6N6F1G1Na1,Bisected tri-antennary / Tetra-antennary,6,6,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2706.9231,H7N6S1Na1,Bisected tri-antennary / Tetra-antennary,7,6,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2707.0096,H4N7F2Sm1,Bisected tetra-antennary / Penta-antennary,4,7,2,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2708.9888,H4N7F2Ga1,Bisected tetra-antennary / Penta-antennary,4,7,2,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2708.9888,H5N7F1Sa1,Bisected tetra-antennary / Penta-antennary,5,7,1,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2709.9728,H4N7F2G1,Bisected tetra-antennary / Penta-antennary,4,7,2,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2709.9728,H5N7F1S1,Bisected tetra-antennary / Penta-antennary,5,7,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2710.9932,H5N7F3,Bisected tetra-antennary / Penta-antennary,5,7,3,n/a (no sialic acid),[M+Na]+,Neutral
2711.8898,H5N6S1G1Na2,Bisected tri-antennary / Tetra-antennary,5,6,0,underivatized + 2 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2711.9885,H6N6F1Gd1,Bisected tri-antennary / Tetra-antennary,6,6,1,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2711.9885,H7N6Sd1,Bisected tri-antennary / Tetra-antennary,7,6,0,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2713.9678,H7N6Gm1,Bisected tri-antennary / Tetra-antennary,7,6,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2715.9599,H4N7F2S1Na1,Bisected tetra-antennary / Penta-antennary,4,7,2,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2721.0252,H4N7F2Sd1,Bisected tetra-antennary / Penta-antennary,4,7,2,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2722.0205,H5N6Sd1Gd1,Bisected tri-antennary / Tetra-antennary,5,6,0,Sa0 Sd1 Ga0 Gd1,[M+Na]+,SA
2722.9181,H7N6G1Na1,Bisected tri-antennary / Tetra-antennary,7,6,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2723.0045,H4N7F2Gm1,Bisected tetra-antennary / Penta-antennary,4,7,2,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2723.0045,H5N7F1Sm1,Bisected tetra-antennary / Penta-antennary,5,7,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2724.9837,H5N7F1Ga1,Bisected tetra-antennary / Penta-antennary,5,7,1,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2724.9837,H6N7Sa1,Bisected tetra-antennary / Penta-antennary,6,7,0,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2725.9678,H5N7F1G1,Bisected tetra-antennary / Penta-antennary,5,7,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2725.9678,H6N7S1,Bisected tetra-antennary / Penta-antennary,6,7,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2726.9881,H6N7F2,Bisected tetra-antennary / Penta-antennary,6,7,2,n/a (no sialic acid),[M+Na]+,Neutral
2727.9834,H7N6Gd1,Bisected tri-antennary / Tetra-antennary,7,6,0,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2731.9548,H4N7F2G1Na1,Bisected tetra-antennary / Penta-antennary,4,7,2,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2731.9548,H5N7F1S1Na1,Bisected tetra-antennary / Penta-antennary,5,7,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2736.0249,H3N8F4,Bisected penta-antennary,3,8,4,n/a (no sialic acid),[M+Na]+,Neutral
2737.0201,H4N7F2Gd1,Bisected tetra-antennary / Penta-antennary,4,7,2,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2737.0201,H5N7F1Sd1,Bisected tetra-antennary / Penta-antennary,5,7,1,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2738.9994,H5N7F1Gm1,Bisected tetra-antennary / Penta-antennary,5,7,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2738.9994,H6N7Sm1,Bisected tetra-antennary / Penta-antennary,6,7,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2738.9994,H5N5F2Sa2,Bisected bi-antennary / Tri-antennary,5,5,2,Sa2 Sd0 Ga0 Gd0,[M+Na]+,SA
2740.9674,H5N5F2S2,Bisected bi-antennary / Tri-antennary,5,5,2,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2740.9787,H6N7Ga1,Bisected tetra-antennary / Penta-antennary,6,7,0,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2741.9627,H6N7G1,Bisected tetra-antennary / Penta-antennary,6,7,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2742.9831,H7N7F1,Bisected tetra-antennary / Penta-antennary,7,7,1,n/a (no sialic acid),[M+Na]+,Neutral
2747.9497,H5N7F1G1Na1,Bisected tetra-antennary / Penta-antennary,5,7,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2747.9497,H6N7S1Na1,Bisected tetra-antennary / Penta-antennary,6,7,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2750.0154,H4N8F1Sa1,Bisected penta-antennary,4,8,1,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2750.9994,H4N8F1S1,Bisected penta-antennary,4,8,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2752.0198,H4N8F3,Bisected penta-antennary,4,8,3,n/a (no sialic acid),[M+Na]+,Neutral
2753.015,H5N7F1Gd1,Bisected tetra-antennary / Penta-antennary,5,7,1,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2753.015,H6N7Sd1,Bisected tetra-antennary / Penta-antennary,6,7,0,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2754.9943,H6N7Gm1,Bisected tetra-antennary / Penta-antennary,6,7,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2754.9943,H5N5F2Sa1Ga1,Bisected bi-antennary / Tri-antennary,5,5,2,Sa1 Sd0 Ga1 Gd0,[M+Na]+,SA
2754.9943,H6N5F1Sa2,Bisected bi-antennary / Tri-antennary,6,5,1,Sa2 Sd0 Ga0 Gd0,[M+Na]+,SA
2756.9623,H5N5F2S1G1,Bisected bi-antennary / Tri-antennary,5,5,2,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2756.9623,H6N5F1S2,Bisected bi-antennary / Tri-antennary,6,5,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2756.9987,H6N5F3Sa1,Bisected bi-antennary / Tri-antennary,6,5,3,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2757.9827,H6N5F3S1,Bisected bi-antennary / Tri-antennary,6,5,3,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2758.978,H8N7,Bisected tetra-antennary / Penta-antennary,8,7,0,n/a (no sialic acid),[M+Na]+,Neutral
2762.9494,H5N5F2S2Na1,Bisected bi-antennary / Tri-antennary,5,5,2,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2763.9446,H6N7G1Na1,Bisected tetra-antennary / Penta-antennary,6,7,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2764.031,H4N8F1Sm1,Bisected penta-antennary,4,8,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2766.0103,H4N8F1Ga1,Bisected penta-antennary,4,8,1,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2766.0103,H5N8Sa1,Bisected penta-antennary,5,8,0,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2766.9943,H4N8F1G1,Bisected penta-antennary,4,8,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2766.9943,H5N8S1,Bisected penta-antennary,5,8,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2767.0307,H5N5F2Sm2,Bisected bi-antennary / Tri-antennary,5,5,2,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2767.0307,H5N5F2Sa1Sd1,Bisected bi-antennary / Tri-antennary,5,5,2,Sa1 Sd1 Ga0 Gd0,[M+Na]+,SA
2768.0147,H5N8F2,Bisected penta-antennary,5,8,2,n/a (no sialic acid),[M+Na]+,Neutral
2769.01,H6N7Gd1,Bisected tetra-antennary / Penta-antennary,6,7,0,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2770.9892,H6N5F1Sa1Ga1,Bisected bi-antennary / Tri-antennary,6,5,1,Sa1 Sd0 Ga1 Gd0,[M+Na]+,SA
2771.0144,H6N5F3Sm1,Bisected bi-antennary / Tri-antennary,6,5,3,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2772.9573,H6N5F1S1G1,Bisected bi-antennary / Tri-antennary,6,5,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2772.9813,H4N8F1S1Na1,Bisected penta-antennary,4,8,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2772.9936,H6N5F3Ga1,Bisected bi-antennary / Tri-antennary,6,5,3,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2773.9776,H6N5F3G1,Bisected bi-antennary / Tri-antennary,6,5,3,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2778.0467,H4N8F1Sd1,Bisected penta-antennary,4,8,1,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2778.9443,H5N5F2S1G1Na1,Bisected bi-antennary / Tri-antennary,5,5,2,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2778.9443,H6N5F1S2Na1,Bisected bi-antennary / Tri-antennary,6,5,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2779.9647,H6N5F3S1Na1,Bisected bi-antennary / Tri-antennary,6,5,3,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2780.0259,H4N8F1Gm1,Bisected penta-antennary,4,8,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2780.0259,H5N8Sm1,Bisected penta-antennary,5,8,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2782.0052,H5N8Ga1,Bisected penta-antennary,5,8,0,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2782.0304,H4N6F4Sa1,Bisected tri-antennary / Tetra-antennary,4,6,4,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2782.9892,H5N8G1,Bisected penta-antennary,5,8,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2783.0144,H4N6F4S1,Bisected tri-antennary / Tetra-antennary,4,6,4,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2783.0256,H5N5F2Sm1Gm1,Bisected bi-antennary / Tri-antennary,5,5,2,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2783.0256,H6N5F1Sm2,Bisected bi-antennary / Tri-antennary,6,5,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2783.0256,H5N5F2Sd1Ga1,Bisected bi-antennary / Tri-antennary,5,5,2,Sa0 Sd1 Ga1 Gd0,[M+Na]+,SA
2783.0256,H5N5F2Sa1Gd1,Bisected bi-antennary / Tri-antennary,5,5,2,Sa1 Sd0 Ga0 Gd1,[M+Na]+,SA
2783.0256,H6N5F1Sa1Sd1,Bisected bi-antennary / Tri-antennary,6,5,1,Sa1 Sd1 Ga0 Gd0,[M+Na]+,SA
2784.0096,H6N8F1,Bisected penta-antennary,6,8,1,n/a (no sialic acid),[M+Na]+,Neutral
2784.9313,H5N5F2S2Na2,Bisected bi-antennary / Tri-antennary,5,5,2,underivatized + 2 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2785.03,H6N5F3Sd1,Bisected bi-antennary / Tri-antennary,6,5,3,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2787.0093,H6N5F3Gm1,Bisected bi-antennary / Tri-antennary,6,5,3,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2788.9762,H4N8F1G1Na1,Bisected penta-antennary,4,8,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2788.9762,H5N8S1Na1,Bisected penta-antennary,5,8,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2794.0416,H4N8F1Gd1,Bisected penta-antennary,4,8,1,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2794.0416,H5N8Sd1,Bisected penta-antennary,5,8,0,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2794.9392,H6N5F1S1G1Na1,Bisected bi-antennary / Tri-antennary,6,5,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2795.062,H5N5F2Sd2,Bisected bi-antennary / Tri-antennary,5,5,2,Sa0 Sd2 Ga0 Gd0,[M+Na]+,SA
2795.9596,H6N5F3G1Na1,Bisected bi-antennary / Tri-antennary,6,5,3,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2796.0209,H5N8Gm1,Bisected penta-antennary,5,8,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2796.0209,H5N6F1Sa2,Bisected tri-antennary / Tetra-antennary,5,6,1,Sa2 Sd0 Ga0 Gd0,[M+Na]+,SA
2796.046,H4N6F4Sm1,Bisected tri-antennary / Tetra-antennary,4,6,4,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2797.9889,H5N6F1S2,Bisected tri-antennary / Tetra-antennary,5,6,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2798.0253,H4N6F4Ga1,Bisected tri-antennary / Tetra-antennary,4,6,4,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2798.0253,H5N6F3Sa1,Bisected tri-antennary / Tetra-antennary,5,6,3,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2799.0093,H4N6F4G1,Bisected tri-antennary / Tetra-antennary,4,6,4,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2799.0093,H5N6F3S1,Bisected tri-antennary / Tetra-antennary,5,6,3,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2799.0205,H6N5F1Sm1Gm1,Bisected bi-antennary / Tri-antennary,6,5,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2799.0205,H6N5F1Sd1Ga1,Bisected bi-antennary / Tri-antennary,6,5,1,Sa0 Sd1 Ga1 Gd0,[M+Na]+,SA
2799.0205,H6N5F1Sa1Gd1,Bisected bi-antennary / Tri-antennary,6,5,1,Sa1 Sd0 Ga0 Gd1,[M+Na]+,SA
2800.0045,H7N8,Bisected penta-antennary,7,8,0,n/a (no sialic acid),[M+Na]+,Neutral
2800.9262,H5N5F2S1G1Na2,Bisected bi-antennary / Tri-antennary,5,5,2,underivatized + 2 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2800.9262,H6N5F1S2Na2,Bisected bi-antennary / Tri-antennary,6,5,1,underivatized + 2 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2801.0249,H6N5F3Gd1,Bisected bi-antennary / Tri-antennary,6,5,3,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2804.9712,H5N8G1Na1,Bisected penta-antennary,5,8,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2804.9963,H4N6F4S1Na1,Bisected tri-antennary / Tetra-antennary,4,6,4,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2810.0365,H5N8Gd1,Bisected penta-antennary,5,8,0,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2810.0617,H4N6F4Sd1,Bisected tri-antennary / Tetra-antennary,4,6,4,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2811.0569,H5N5F2Sd1Gd1,Bisected bi-antennary / Tri-antennary,5,5,2,Sa0 Sd1 Ga0 Gd1,[M+Na]+,SA
2811.0569,H6N5F1Sd2,Bisected bi-antennary / Tri-antennary,6,5,1,Sa0 Sd2 Ga0 Gd0,[M+Na]+,SA
2812.0158,H5N6F1Sa1Ga1,Bisected tri-antennary / Tetra-antennary,5,6,1,Sa1 Sd0 Ga1 Gd0,[M+Na]+,SA
2812.0158,H6N6Sa2,Bisected tri-antennary / Tetra-antennary,6,6,0,Sa2 Sd0 Ga0 Gd0,[M+Na]+,SA
2812.0409,H4N6F4Gm1,Bisected tri-antennary / Tetra-antennary,4,6,4,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2812.0409,H5N6F3Sm1,Bisected tri-antennary / Tetra-antennary,5,6,3,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2813.9838,H5N6F1S1G1,Bisected tri-antennary / Tetra-antennary,5,6,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2813.9838,H6N6S2,Bisected tri-antennary / Tetra-antennary,6,6,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2814.0202,H5N6F3Ga1,Bisected tri-antennary / Tetra-antennary,5,6,3,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2814.0202,H6N6F2Sa1,Bisected tri-antennary / Tetra-antennary,6,6,2,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2815.0042,H5N6F3G1,Bisected tri-antennary / Tetra-antennary,5,6,3,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2815.0042,H6N6F2S1,Bisected tri-antennary / Tetra-antennary,6,6,2,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2816.0246,H6N6F4,Bisected tri-antennary / Tetra-antennary,6,6,4,n/a (no sialic acid),[M+Na]+,Neutral
2816.9211,H6N5F1S1G1Na2,Bisected bi-antennary / Tri-antennary,6,5,1,underivatized + 2 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2819.9708,H5N6F1S2Na1,Bisected tri-antennary / Tetra-antennary,5,6,1,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2820.9912,H4N6F4G1Na1,Bisected tri-antennary / Tetra-antennary,4,6,4,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2820.9912,H5N6F3S1Na1,Bisected tri-antennary / Tetra-antennary,5,6,3,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2824.0522,H5N6F1Sm2,Bisected tri-antennary / Tetra-antennary,5,6,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2824.0522,H5N6F1Sa1Sd1,Bisected tri-antennary / Tetra-antennary,5,6,1,Sa1 Sd1 Ga0 Gd0,[M+Na]+,SA
2826.0566,H4N6F4Gd1,Bisected tri-antennary / Tetra-antennary,4,6,4,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2826.0566,H5N6F3Sd1,Bisected tri-antennary / Tetra-antennary,5,6,3,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2827.0518,H6N5F1Sd1Gd1,Bisected bi-antennary / Tri-antennary,6,5,1,Sa0 Sd1 Ga0 Gd1,[M+Na]+,SA
2828.0107,H6N6Sa1Ga1,Bisected tri-antennary / Tetra-antennary,6,6,0,Sa1 Sd0 Ga1 Gd0,[M+Na]+,SA
